web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,prix,adresse,type_habits,image_lien-src
"1740023657-68","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border5jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5186402","12 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5187030_uploaded_image1_1739624970.jpg"
"1740023662-69","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border4jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5187030","15 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5187030_uploaded_image1_1739624970.jpg"
"1740023665-70","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border4jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussure-adidas-5187107","15 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5181267_uploaded_image1_1739298906.jpg"
"1740023669-71","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border4jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-louis-vuitton-5140176","40 000 CFA","Fass, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5113905_uploaded_image1_1735645280.jpg"
"1740023672-72","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border4jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-dior-b22-5187627","27 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_4398093_uploaded_image1_1696191803.jpg"
"1740023675-73","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border3jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-nike-5188393","35 000 CFA","Yoff, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_4220343_uploaded_image1_1684364916.jpg"
"1740023679-74","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border3jours","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-nike-t-45-5188402","35 000 CFA","Yoff, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_2030043_uploaded_image1_1588185994.jpg"
"1740023682-75","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border2jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-en-cuir-5149739","25 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5059414_uploaded_image1_1732460160.jpg"
"1740023686-76","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border1jour","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-adidas-5191469","23 000 CFA","Dakar Plateau, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5081265_uploaded_image1_1733602892.jpg"
"1740023690-77","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border1jour","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-timberlands-5191477","22 000 CFA","Dakar Plateau, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_2586990_uploaded_image1_1598816863.jpg"
"1740023695-78","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border1jour","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-adidas-5177843","15 000 CFA","Colobane, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_4996578_uploaded_image1_1729077988.jpg"
"1740023698-79","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border1jour","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-parada-milano-5177848","16 000 CFA","Colobane, Dakar, Sénégal","Chaussures Homme",""
"1740023702-80","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border14heures","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5193216","20 000 CFA","Medina, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5141203_uploaded_image1_1737204782.jpg"
"1740023706-81","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border11heures","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5193398","Prix sur demande","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5187030_uploaded_image1_1739624970.jpg"
"1740023709-82","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border7heures","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-dior-5179616","20 000 CFA","Fass, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_2760459_uploaded_image1_1605298835.jpg"
